SL. No.,iso,Language_Name,Uninverted_Name,Autonym,Alternate_Names,Country_Code,Country_Namee,Is_Primary,is_Indigenous,Is_Established,All_Users,L1_Users,L2_Users,All_Full,L1_Full,L2_Full,Monolingual,Ethnic,Population_Year,Population_Total,Location,Subdivision,Latitude,Longitude,EGIDS,EGIDS_Label,Official_Recognition,LWC_Support,Classification,Dialect_Names,Relationships,Typology,Language_Use,Language_Contact,Use_as_L2,Literacy,Education,Literature,Revitalization,Language_Planning_Org,Scripts,General_Remarks,Religion
240,lmn,Lambadi,Lambadi,బంజార‎ (Banjara),"Bangala, Banjari, Banjori, Banjuri, Brinjari, Gohar-Herkeri, Goola, Gormati, Gurmarti, Kora, Labhani, Labhani Muka, Lamadi, Lamani, Lambani, Lambara, Lavani, Lemadi, Lumadale, Singali, Sugali, Sukali, Tanda, Vanjari, Wanji",IN,India,T,T,T,5080000,5080000,,,"5,080,000 (2011 census), including the following groups: 1,580,000 Banjari, 50,300 Gorboli, 3,280,000 Lambadi, and 171,000 Sugali (2011 census).",,,"7,810,000 (2022 Joshua Project).",2011,,"Gujarat, Himachal Pradesh, Karnataka, Madhya Pradesh, Maharashtra, Odisha, Tamil Nadu, Telangana, and West Bengal states.",Telangana,17.323,79.6199,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Rajasthani, Unclassified","Maharashtra Lamani, Karnataka Lamani (Mysore Lamani), Andhra Pradesh Lamani (Telugu Lamani)",,SOV.,,Also use English [eng]. Also use Kannada [kan]. Also use Marathi [mar]. Also use Telugu [tel].,,"Literacy rate in L2: 43% for Banjara of Andhra Pradesh. Many sources cite a much lower literacy rate for Banjara, 10%–20% (2001 census).",,Radio. Dictionary. Grammar. Texts. NT: 1999–2018.,,,"Devanagari script [Deva], used in Maharashtra. Kannada script [Knda], used in Karnataka. Telugu script [Telu], used in Andhra Pradesh.","A Scheduled Tribe in Odisha, a Scheduled Caste in Karnataka, Haryana, Punjab, Himachal Pradesh.","Traditional religion, Christian, Hindu."
241,lmk,Lamkang,Lamkang,Lamkaang,"Lamkang Naga, “Hiroi-Lamgang” (pej.), “Lamgang” (pej.)",IN,India,T,T,T,10000,10000,,,"10,000 (1999 census).",,,,1999,,"Manipur state: Chandel district, 6 villages near Shuganu; 6 villages in Chalong area; 18 villages in Palel, Chandel town, and Sibong area; Nagaland state: Dimapur.",Manipur,24.0053,94.0123,5,5 (Developing),,,"Sino-Tibetan, Tibeto-Burman, Kuki-Chin, Northwestern",,Reportedly most similar to Anal Naga [anm].,"SOV; postpositions; genitives before head nouns; adjectives and numerals after noun heads; noun prefixes mark person, number of possessor; VC, CV, CVC, CCCVC.","Vigorous, but each successive generation not as knowledgeable about their folksongs and folktales. Used by all.","A few also use English [eng]. Also use Hindi [hin]. Also use Meitei [mni], at least passively.",,Literacy rate in L2: 40% in Meitei [mni]: 10 to 40 year olds (2000 S. Towar). Only 2% can read Latin script.,,Grammar. Texts. Bible: 2019.,,,"Latin script [Latn]. Myanmar (Burmese) script [Mymr], used in Myanmar.",A Scheduled Tribe.,Christian.
242,lep,Lepcha,Lepcha,Róng-ríng,"Lapche, Nünpa, Rongke, Rongpa, Róng, Róngkup",IN,India,T,T,T,47300,47300,,,"47,300 in India (2011 census).",,,,2011,"52,680 (as L1: 52,440; as L2: 240)","Sikkim state: Mangan district, Dzongu assembly constituency; West Bengal state: Darjeeling and Kalimpong districts.",Sikkim,27.3572,88.6082,6b,6b* (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman, Lepcha","Ilammu, Tamsangmu, Rengjongmu",Classification uncertain; has been classified both in Himalayan and Naga groups.,SOV; postpositions; dual number; definite article; 32 consonants and 8 vowels.,"In Sikkim, all ages. Language use not known in other regions.",Many also use Nepali [npi]. Some also use English [eng].,,Literacy rate in L2: 66% in Sikkim (2001 census).,,Radio. Dictionary. Grammar. NT: 1989.,,,Lepcha (Róng) script [Lepc]. Tibetan script [Tibt].,Lepcha is both language and name of people.,"Buddhist, Christian, Hindu."
243,lhm,Lhomi,Lhomi,ल्होमी‎ (Lhomi),"Lhoket, Lhomi dzyükki keccyok, Lhomiki keccyok, Shing Saapa, Syingsaaba",IN,India,F,T,T,1320,1320,,,"1,320 in India (2000 USCWM).",,,,2000,"9,320",West Bengal state: Darjeeling.,West Bengal,,,6b,6b (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, Central Bodish, Central, gTsang",,,"SOV; postpositions; noun head initial; masculine and feminine (limited class); content q-word precedes the main verb; 1 prefix, up to 3 suffixes; clause constituents indicated by case-marking; split ergativity; aspect; no passives or voice; tonal (tense-lax); 23 consonant and 8 vowel phonemes; evidentiality is a salient feature of Lhomi syntax.","Some young people, all adults.",Also use English [eng].,,Literacy rate in L2: 5%–25% (men).,,Literature. Newspapers. Videos. Grammar. NT: 1995.,,,Devanagari script [Deva].,,"Traditional religion, Buddhist."
244,lif,Limbu,Limbu,"याक्थुङ् पान‎ (Yaakthung Paan), ᤕᤠᤰᤌᤢᤱ ᤐᤠᤴ‎ (Yakthung Paan)","Limbo, Limboo, Lumbu, Yakthung Pan",IN,India,F,T,T,40800,40800,,,"40,800 in India (2011 census).",,,"177,000 (2007).",2011,"432,900 (as L1: 413,200; as L2: 19,700)",Assam state; Sikkim state: West district; West Bengal state: Darjeeling district.,Sikkim,,,4,4 (Educational),,,"Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Himalayan, Kiranti, Eastern",,,"SOV; postpositions; genitives, articles, adjectives, numerals before noun heads; noun head final; content question word in situ; bipolar question word final; maximum of 3 prefixes, 6 suffixes; affixes indicate case of noun phrases; verb affixes mark subjects, objects, indirect objects—obligatory; verbal affixation marks person and number; split ergativity; reflexes conjugated intransitively can be used as a kind of passive; passives and voice; antipassives; causatives; comparatives; 16 consonant and 13 vowel phonemes; V, CV, CVC, CCV, CCVC; nontonal.",,Many also use Nepali [npi]. Some also use English [eng].,,,Taught as subject in primary and secondary schools from grade 6 in Sikkim state. Taught as subject in tertiary schools.,Literature. Newspapers. Periodicals. Radio. TV. Videos. Dictionary. Grammar. Bible: 2022.,,,"Devanagari script [Deva], primary usage. Limbu (Kiranti, Sirijonga) script [Limb], dating from early 18th century.",,"Traditional religion, Buddhist, Hindu."
245,lsh,Lish,Lish,,"Khispi, Kishpignag, Lish Monpa, Lishpa, Monpa",IN,India,T,T,T,2340,2340,,,"2,340.00",,,,,,"Arunachal Pradesh state: West Kameng district, Lish, Lish Gompache, Lish Gompalok villages.",Arunachal Pradesh,27.4228,92.2207,6b,6b* (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman, Kho-Bwa",,Reportedly most similar to Chug [cvg]. Lexical similarity: 59%–74% with Chug [cvg].,,,Also use English [eng]. Also use Tshangla [tsj].,,"Literacy rate in L2: 62% for West Kameng District, males 71%, females 49% (2001 census).",,,,,Unwritten [Qaax].,"The cover term ‘Monpa’ (Moinba), man of the lower country, used to refer to several ethnically related peoples whose languages may not be related linguistically.",Buddhist.
246,lis,Lisu,Lisu,"Lisu, ꓡꓲ-ꓢꓴ‎ (Li-su)",,IN,India,F,F,T,2700,2700,,,"2,700 in India (Bradley 2007b).",,,,2007,"10,52,700","Arunachal Pradesh state: Changlang district, Miao and Vijoynagar sub-district, 6 villages, Gandhigram being largest.",Arunachal Pradesh,,,5,5* (Dispersed),,,"Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Central",,,SOV; postpositions; classifiers; isolating language; no passives; aspect markers; causatives; topic markers; 28 consonants and 10 vowels; tonal (6 tones).,,,,Literacy rate in L1: 45%.,,Literature. Newspapers. Radio. Dictionary. Grammar. Bible: 1968–1986.,,,"Latin script [Latn], used in 1915–1918, 1958–1966, and from 1981. Lisu (Fraser) script [Lisu], used since 1918, primary usage.",The Lisu people are called Yobin or Yawyin by the Singpho [sgp] people.,Christian.
247,lbm,Lodhi,Lodhi,,"Lodha, Lodi, Lohi, Lozi",IN,India,T,T,T,139000,139000,,,"139,000 (2011 census).",,,,2011,,"Jharkhand state: West Bengal state border area; Odisha state: Mayurbhanj district, Sadar subdistrict, Morada and Suliapada; Balasore district, Sora sub-district; West Bengal state: West Medinipur district, Binpur and Kharagpur-I sub-districts.",West Bengal,22.1523,87.0522,5,5 (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bengali-Assamese",,"Lexical similarity: 59%–67% with Oriya [ory], 56%–72% with Bangla (Bengali [ben]), 20% with Santhali [sat] and Mundari [unr], 66%–85% between varieties of Lodhi, 57%–75% with Kharia Thar [ksy].",,Vigorous. All domains. Used by all. Positive attitudes.,Also use Bengali [ben]. Also use English [eng]. Also use Odia [ory].,,Literacy rate in L2: 22% in Odisha (2001 census).,,NT: 2020.,,,Devanagari script [Deva].,,"Hindu, Christian."
248,gda,"Lohar, Gade",Gade Lohar,,"Bagri Lohar, Belani, Bhubaliya Lohar, Chitodi Lohar, Chittoriya Lohar, Dhunkuria, Domba, Dombiali, Gadia Lohar, Gaduliya Lohar, Gara, Kanwar Khati, Lohari, Lohpitta, Panchal Lohar, Rajput Lohar",IN,India,T,T,T,500000,500000,,,"500,000 (2016).",,,,2016,,"Delhi, Gujarat, Haryana, Madhya Pradesh, Maharashtra, Punjab, Rajasthan, and Uttar Pradesh states.",Rajasthan,27.4451,71.4668,6a,6a* (Vigorous),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Rajasthani, Unclassified",,No significant dialect differences. May be same as Loarki [lrk] in Pakistan.,,,Also use English [eng].,,Literacy rate in L2: 40% (1981 census).,,Grammar.,,,Unwritten [Qaax].,Nomadic blacksmiths. The name ‘Gade Lohar’ refers to people who travel in bullock carts and are blacksmiths.,Hindu.
249,lhl,"Lohar, Lahul",Lahul Lohar,,"Garas, Lohar",IN,India,T,T,T,750,750,,,750 (1996).,,,,1996,,"Himachal Pradesh: Lahaul Spiti district in Lahul valley; Jammu and Kashmir state: Leh district, small border area.",Himachal Pradesh,32.4302,78.2637,6b,6b* (Threatened),,,"Indo-European, Indo-Iranian, Indo-Aryan, Unclassified",,Different from Gade Lohar [gda].,,,Also use English [eng]. Also use Hindi [hin].,,,,,,,,"Lohar is a Scheduled Caste in Himachal Pradesh, not all of whom speak Lahul Lohar. Similar name and occupation to ‘Gade Lohar’.",
250,lyg,Lyngngam,Lyngngam,,"Ləngngam, Lngngam, Lyngam, Lyngym, Megam",IN,India,T,T,T,11600,11600,,,"11,600 in India (2011 census).",,,,2011,"12,600",Assam state: Kamrup district; Meghalaya state.,Meghalaya,25.8531,91.8063,6b,6b* (Threatened),,,"Austro-Asiatic, Mon-Khmer, Northern Mon-Khmer, Khasian",,Lexical similarity: 36% with standard Khasi [kha].,,,Also use Assamese [asm]. Also use English [eng]. Also use Garo [grt]. Also use Hindi [hin].,,Literacy rate in L2: 10% (Singh 1994b).,,,,,,Previously listed as dialect of Khasi [kha]. Culturally intermediate between the Khasi and the Garo [grt].,Christian.
251,mag,Magahi,Magahi,मगही‎ (magahī),"Bihari, Magadhi, Magaya, Maghai, Maghaya, Maghori, Magi, Magodhi, Megahi",IN,India,T,T,T,20700000,20700000,,,"20,700,000 in India (2011 census). 8,000,000 Khortha and 12,700,000 Magahi (2011 census).",,,,2011,"20,959,200 (as L1: 20,930,000; as L2: 29,200)","Bihar state: Arwal, Aurangabad, western Bhagalpur, Gaya, Jehanabad, western Munger, Nalanda, Nawada, eastern Patna, and Sheikhpura districts; Jharkhand state: Giridih, Hazaribagh, Palamu, southern Ranchi districts, and north Chota Nagpur area.",Bihar,24.9619,85.1751,6b,6b (Threatened),,,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bihari","Central Magahi, Khortha (Khotta), Eastern Magahi",Greatly influenced by standardized Hindi [hin].,,Shifting to Hindi [hin] among formally educated Magahi users and among those who have migrated to the cities (2020 M. Bhushan). Religion. Some of all ages. Positive attitudes.,"Also use English [eng]. Also use Hindi [hin], especially educated people, city-dwellers, and those who travel.",,Literacy rate in L1: 30%. Literacy rate in L2: 30% in Hindi [hin]. Bhojpuri [bho] can use Magahi materials.,,Newspapers. Periodicals. Radio. Grammar. Texts. NT: 1826–2016.,,,Devanagari script [Deva].,,"Hindu, Jain, traditional religion."
252,mgp,"Magar, Eastern",Eastern Magar,मगर ढुट‎ (magar ḍhuṭ),"Magari, Magarkura, Mangari, Manggar",IN,India,F,F,T,71700,71700,,,"71,700 in India (2006 J. Leclerc).",,,"278,000 (2006 FTT).",2006,"595,300 (as L1: 541,200; as L2: 54,100)","Sikkim state: South district, scattered in East district.",Sikkim,,,6b,6b* (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Himalayan, Central Himalayan, Kham-Magar, Magar",,,,Home.,Also use Nepali [npi].,,,,Literature. Dictionary. Grammar. Texts. NT: 1991.,,,Brahmi script [Brah]. Devanagari script [Deva].,,
253,mjx,Mahali,Mahali,,"Mahili, Mahle, Mahli",IN,India,T,T,T,26400,26400,,,"26,400 in India (2011 census), decreasing.",,,"278,000 (2007).",2011,"33,010","Assam state: tea estates; Bihar state; Jharkhand state: Dhanbad, Gumla, Hazaribagh, Pargana, Ranchi, Santal Lohardaga, Saraikela Kharsawan, East Singhbhum, and West Singhbhum districts in Chota Nagpur area; Odisha state: Balasore, Keonjhar, and Mayurbhanj districts; West Bengal state: Jalpaiguri and West Medinipur districts.",Jharkhand,24.0779,85.9786,6b,6b* (Threatened),,,"Austro-Asiatic, Munda, North Munda, Kherwari, Santali",,"Possible dialect of Santhali [sat]. Lexical similarity: 69%–87% between varieties of Mahali, 68%–93% with Santhali [sat], 53%–59% with Mundari [unr].",,"Most in Jharkhand reported Santhali [sat], Sadri [sck] or Mundari [unr] as their mother tongue rather than Mahali. May be a threatened language. Home, village, private prayer for half the L1 speakers in Jharkhand.",Also use Bengali [ben]. Also use English [eng]. Also use Hindi [hin]. Also use Munda [unx]. Also use Mundari [unr]. Also use Odia [ory]. Also use Sadri [sck]. Also use Santhali [sat].,,"Literacy rate in L2: 12% for Jharkhand (20% male, 4% female) (1981 census); 32% for Odisha (2001 census).",,,,,"Bengali (Bangla) script [Beng]. Latin script [Latn], used in Bangladesh.","Mahli are reported to speak Sadri [sck] as L1 in Jharkhand, the Thar dialect of Dhatki [mki] in Odisha, and Bengali [ben] in West Bengal.",Hindu.
254,mai,Maithili,Maithili,मैथिली‎ (Maithilī),"Apabhramsa, Bihari, Maitili, Maitli, Methli, Tirahutia, Tirhuti, Tirhutia",IN,India,T,T,T,14152000,13500000,652000,"14,152,000 in India, all users.","13,500,000 in India (2011 census).","652,000 (2011 census).","12,000,000 monolinguals (1998).",,2011,"17,640,000 (as L1: 16,720,000; as L2: 920,000)","Bihar state: Muzaffarpur west, past Kosi east to west Purnia district, to Munger and Bhagalpur districts south, and Himalayan foothills north; Delhi, Kolkata, Mumbai. Cultural, religious, and linguistic centers are Janakpur, Madhubani and Darbhanga. Many settled abroad.",Bihar,26.7314,86.3096,2,2 (Provincial),"Statutory language of provincial identity in Bihar State (1950, Constitution, Schedule VIII), amended 2003.",,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bihari","Standard Maithili, Southern Standard Maithili, Eastern Maithili (Khortha, Khotta, Kortha, Kortha Bihari), Jolaha, Central Colloquial Maithili (Sotipura), Kisan, Dehati, Thetiya (Thati)","Caste variation more than geographic variation in dialects. Functional intelligibility among all dialects, including those in Nepal. Reportedly most similar to Magahi [mag]. Lexical similarity: 91% between Brahmin and non-Brahmin dialects; 51%–65% with Bajjika [vjk].","SOV; postpositions; noun head final; 11 noun classes or genders; content q-word in situ; genitives, articles, numerals before noun heads, adjectives before and after noun heads; 1 prefix, up to 5 suffixes; clause constituents partially indicated by case-marking (6 cases) and postpositions; verbal affixation marks person, number, gender, and honorificity of subject; nominative-accusative; object marked by position; person, gender, animate distinguished, obligatory for subject; transitives; both tense and aspect; passives and voice; causatives; comparatives; V, VC, VCC, CV, CVC, CVV, CCV, CVCC, CCVCC; non-tonal; 26 consonant and 16 vowel phonemes; stress on penultimate syllable.","Used by Brahmin and other high caste or educated Hindus, who influence the culture and language, and other castes. There is a Maithili Academy. Linguistics and literature taught at Patna University and at L. N. Mithila University in Darbhanga. Home, community. Mixed attitudes. Influenced by caste, ranging from superiority to resentment; non-Brahmin speech viewed as inferior.",Also use Bengali [ben]. Also use Bhojpuri [bho]. Also use English [eng]. Also use Hindi [hin]. Also use Nepali [npi].,Used as L2 by Bajjika [vjk].,"Literacy rate in L1: 25%–50%. Literacy rate in L2: 25%–50%. If they can read Nepali [npi] or Hindi [hin], they can read Maithili. The educated read Hindi, Nepali, or English books for pleasure. Some literacy work in India.",Taught in primary and secondary schools through grade 5 and as subject thereafter in Bihar state.,Fully developed. NT: 2010.,,,"Devanagari script [Deva], primary usage. Kaithi script [Kthi], used until the turn of the 20th century. Newa script [Newa], no longer in use, historic usage. Tirhuta script [Tirh], used until the turn of the 20th century.",,Hindu.
255,mjz,Majhi,Majhi,माझी‎ (Majhi),Manjhi,IN,India,F,F,T,0,0,,,"No known L1 speakers in India (2016). Last native speaker in India, Thak Bahadur, died in 2016.",,,"121,000 (2007).",2016,"33,870 (as L1: 32,900; as L2: 970)","Jharkhand state: Gumla district; Sikkim state: South district, Majhigaon near Jorethang, and East district, Majhitar near Rangpo; possibly Assam and West Bengal states.",Sikkim,,,9,9 (Dormant),,,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bihari",,,"SOV; postpositions; noun head final; no noun classes or genders; content q-word in situ; 1 prefix, up to 2 suffixes; clause constituents indicated by case-marking; verbal affixation marks person and number; split ergativity based on nominal hierarchy (the first and second person pronouns do not code ergativity but the third person pronouns do); passives and voice; nontonal; 29 consonant and 6 vowel phonemes.",,Most shifted to Nepali [npi]. Some shifted to Sadri [sck].,,,,Radio. Dictionary. Grammar. Texts. Bible portions: 2019.,,,Devanagari script [Deva].,Distinct from Majhi dialect of Eastern Punjabi [pan] or Bote (Bote-Majhi) [bmj] of Nepal.,Hindu.
256,mmj,Majhwar,Majhwar,,"Majhvar, Manjhi, Manjhia",IN,India,T,T,T,34300,34300,,,"34,300 (1995).",,,"174,000 (2007).",1995,,"Chhattisgarh state: Bilaspur district, Katghora sub-district; Raigarh and Surguja districts; Sikkim state; Uttar Pradesh state: scattered in Allahabad, Mirzapur, and Varanasi districts.",Chhattisgarh,22.9227,82.7082,7,7 (Shifting),,,Unclassified,,Possibly a dialect of Asuri [asr].,,,Shifting to English [eng].,,,,,,,,Reportedly speak Chhattisgarhi [hne] as L1.,Hindu.
257,mkb,Mal Paharia,Mal Paharia,,"Dehri, Mad, Mader, Mal, Mal Pahariya, Mal Pahoria, Maler, Malpaharia, Malti, Malto, Maltu, Manlati, Mar, Mar Paharia of Dumka, Marpaharia, Maw, Mawdo, Mawer, Mawer Nondi, Paharia, Parsi",IN,India,T,T,T,51000,51000,,,"51,000 (Bhaskararao 2006). Possibly 40,000 in West Bengal.",,,"111,000 (2000).",2006,,"Bihar state: Banka district; Jharkhand state: Deoghar district; Dumka district, Pakaur; south Godda district; Sahibganj district, Borio, Depart village; south Santal Pargana district, Ramgarh hills; West Bengal state: Bankura, Barddhaman, and Murshidabad districts.",Jharkhand,24.3677,87.6412,6b,6b* (Threatened),,,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bengali-Assamese",,"Not inherently intelligible with Kumarbhag Paharia [kmj], Sauria Paharia [mjt], Bengali [ben], or Hindi [hin]. Part of the Malto ethnic group. Reportedly speak a variety similar to Kharia Thar [ksy] of Manbhum (Jharkhand). Lexical similarity: 85% between dialects, 59% with Mal Paharia Barmasiya.",,Vigorous. All domains. Positive attitudes.,Some also use Bengali [ben]. Also use English [eng].,,"Literacy rate in L2: 13% male, 3% female, average 8% (1981).",,Grammar. Texts. Bible: 2018.,,,Devanagari script [Deva].,,"Traditional religion, Christian."
258,ima,Mala Malasar,Mala Malasar,,"Maha Malasar, Malai Malasar, Malasir",IN,India,T,T,T,1000,1000,,,"1,000 (2004).",,,,2004,,"Kerala state: Palakkad district, Parambikulam wildlife sanctuary; Tamil Nadu state: Coimbatore district, Annamalai hills.",Tamil Nadu,10.4903,76.8706,6a,6a (Vigorous),,,"Dravidian, Southern, Unclassified",,"Lexical similarity: 68%–74% with Malasar [ymr], 70% with Eravallan [era], 70% with Muduga [udg], 65% with Tamil [tam], 61% with Malayalam [mal], 67%–72% with the Attapady dialect of Irula [iru], 75% with the Walayar dialect of Irula.",,"Vigorous. Home, village, religion. Used by all. Positive attitudes.",Also use English [eng]. Also use Malayalam [mal].,,"Literacy rate in L2: 17% in Kerala, 15% in Tamil Nadu (2001 census).",,,,,Unwritten [Qaax].,Mala Malasar means ‘king of the forest’. Culturally very distinct from neighboring tribal groups.,"Hindu, traditional religion."
259,mjo,Malankuravan,Malankuravan,,"Mala Koravan, Malaikuravan, Malakkuravan, Male Kuravan",IN,India,T,T,T,18600,18600,,,"18,600 (2001 census). 260 in Kerala, 18,300 in Tamil Nadu.",,,,2001,,"Kerala state: Kollam, Kottayam, and Trivandrum districts, Chittar, Kattachira, and Rajanpara in Ranni Range, Pathanamthitta sub-district, Nottakal in Pathanapuram sub-district, Pampa river, Neduvanged sub-district forest tracks; Tamil Nadu state: Kanniyakumari district.",Kerala,8.9556,77.1375,6a,6a* (Vigorous),,,"Dravidian, Unclassified",Malayadiars,,,,Also use English [eng]. Also use Tamil [tam].,,"Literacy rate in L2: 53% for Kerala, 41% for Tamil Nadu (2001 census).",,,,,,A Scheduled Tribe. Reported to speak a dialect of Malayalam [mal] with many borrowed words and phrases from Tamil.,"Traditional religion, Hindu."
260,mjp,Malapandaram,Malapandaram,,"Hill Pantaram, Malapantaram, Malepantaram, Pandaram Basha",IN,India,T,T,T,5850,5850,,,"5,850 (2001 census).",,,,2001,,"Kerala state: Kollam and Pathanamthitta districts, some in Kottayam and Palakkad districts; Tamil Nadu state: Coimbatore, Maduari, and Villupuram districts.",Kerala,9.1504,77.1664,6b,6b* (Threatened),,,"Dravidian, Southern, Tamil-Kannada, Tamil-Kodagu, Tamil-Malayalam, Malayalam",,"Lexical similarity: 83%–94% between varieties in Kerala, 63%–68% with Malayalam [mal], 64%–68% with Tamil [tam].",,"Home, community. Negative attitudes.","Also use Malayalam [mal], with many shifting in Kerala. Also use Tamil [tam], with most shifting in Tamil Nadu.",,"Literacy rate in L2: 48% for Kerala, 59% for Tamil Nadu (2001 census).",,,,,,A Scheduled Tribe.,"Hindu, traditional religion."
261,mjq,Malaryan,Malaryan,,"Arayans, Karingal, Malai Arayan, Malayarayan, Malayarayar, Male Arayans, Maley Arayan, Vazhiyammar",IN,India,T,T,T,0,0,,,No known L1 speakers. Dormant by 2000s.,,,"35,000 (2001 census).",,,"Kerala state: scattered in Ernakulam, Idukki, Kottayam, and Thrissur districts.",Kerala,10.2176,76.9427,9,9 (Dormant),,,"Dravidian, Southern, Tamil-Kannada, Tamil-Kodagu, Tamil-Malayalam, Malayalam",,,,,"Shifted to Malayalam [mal], in Kerala state.",,,,Grammar.,,,Unwritten [Qaax].,"A Scheduled Tribe. Speak a variety of Malayalam [mal] as L1. Malayarayar and Mala Arayan are listed as 2 different communities in the census but are the same group. Though the Kanikkar of Trivandrum District also sometimes call themselves Malayarayar, they are entirely different (Menon 1996:198).","Hindu, Christian."
262,ymr,Malasar,Malasar,,Malayar,IN,India,T,T,T,7760,7760,,,"7,760 (2001 census).",,,,2001,,"Karnataka state; Kerala state: Palakkad district, Chittoor and Palakkad sub-districts; Tamil Nadu state: Coimbatore district, Pollachi sub-district.",Tamil Nadu,10.6985,76.9487,6a,6a (Vigorous),,,"Dravidian, Southern, Unclassified",,"Lexical similarity: 68%–74% with Tamil [tam], 79%–83% with Walayar Irula [iru], 77%–86% with Eravallan [era], 57%–61% with Malayalam [mal], 68%–75% with Mala Malasar [ima] (2004 survey); 52%–56% with Malaryan [mjq], 77%–82% between Malasar and Kollimalakkar, Kollimalakkar 80% with Malapulaya (2006 survey).",,"Home, village, religion. Used by all. Positive attitudes.","Also use English [eng]. Also use Malayalam [mal], especially in Kerala among the few with higher education. Also use Tamil [tam].",,"Literacy rate in L2: 36% in Kerala, 22% in Tamil Nadu (2001 census).",,,,,Unwritten [Qaax].,"Kollimalakkar call themselves Malasar but are different culturally, belonging to the Malayali tribe of Tamil Nadu. They migrated to Nelliyampathy area in Kerala for work many years ago.","Traditional religion, Christian, Hindu."
263,mjr,Malavedan,Malavedan,,"Malai Vedan, Malavetan, Towetan, Veda Bhasha, Vedans, Vettava Bhasha",IN,India,T,T,T,27000,27000,,,"27,000 (2011), decreasing.",,,"33,000 (2011 census). 26,000 in Kerala and 7,000 In Tamil Nadu.",2011,,"Kerala state: Ernakulam, Idukki, Kollam, Kottayam, Pathanamthitta, and Trivandrum districts; Tamil Nadu state: scattered in Dindigul, Kanniyakumari, Madurai, Nilgiris, Salem, and Tirunelveli districts.",Kerala,9.7425,76.7266,6b,6b (Threatened),,,"Dravidian, Southern, Tamil-Kannada, Tamil-Kodagu, Tamil-Malayalam, Malayalam","Vetan, Vettuvan","Lexical similarity: 64%–68% with Malayalam [mal], 48%–52% with Tamil [tam].",,"Shifting to Malayalam [mal] in Kerala state, especially in Idukki district. Home, village in Pathanamthitta district. Some of all ages. Negative attitudes, especially in Kerala state.","Also use English [eng]. Also use Malayalam [mal], especially in Kerala.",,"Literacy rate in L2: 67%–78% for Kerala, 56% for Tamil Nadu (2001 census).",,Grammar.,,,Unwritten [Qaax].,A Scheduled Tribe.,Hindu.
